Designator,Mid X,Mid Y,Rotation,Layer
D1,168.39,-57.56,270.0,bottom
D10,132.4,-71.55,270.0,bottom
D11,132.4,-86.55,270.0,bottom
D12,132.4,-103.55,270.0,bottom
D13,114.42,-57.3125,270.0,bottom
D14,114.4,-74.05,270.0,bottom
D15,114.4,-89.05,270.0,bottom
D16,114.4,-106.05,270.0,bottom
D17,96.39,-57.54,270.0,bottom
D18,96.4,-74.55,270.0,bottom
D19,96.4,-91.55,270.0,bottom
D2,168.4,-74.55,270.0,bottom
D20,96.4,-108.55,270.0,bottom
D21,78.41,-57.5775,270.0,bottom
D22,78.4,-74.55,270.0,bottom
D23,78.4,-91.55,270.0,bottom
D24,78.4,-108.55,270.0,bottom
D3,168.4,-91.55,270.0,bottom
D4,168.4,-108.55,270.0,bottom
D5,150.36,-55.1,270.0,bottom
D6,150.4,-72.05,270.0,bottom
D7,150.4,-89.05,270.0,bottom
D8,150.4,-106.05,270.0,bottom
D9,132.4,-57.46,270.0,bottom
DISPLAY1,197.925,-65.71,270.0,top
SW1,177.35,-62.95,180.0,top
SW10,141.35,-74.95,180.0,top
SW11,141.35,-91.95,180.0,top
SW12,141.35,-108.95,180.0,top
SW13,123.35,-60.45,180.0,top
SW14,123.35,-77.45,180.0,top
SW15,123.35,-94.45,180.0,top
SW16,123.35,-111.45,180.0,top
SW17,105.35,-62.95,180.0,top
SW18,105.35,-79.95,180.0,top
SW19,105.35,-96.95,180.0,top
SW2,177.35,-79.95,180.0,top
SW20,105.35,-113.95,180.0,top
SW21,87.35,-62.95,180.0,top
SW22,87.35,-79.95,180.0,top
SW23,87.35,-96.95,180.0,top
SW24,87.35,-113.95,180.0,top
SW26,231.28,-109.51,90.0,top
SW3,177.35,-96.95,180.0,top
SW4,177.35,-113.95,180.0,top
SW5,159.35,-60.45,180.0,top
SW6,159.35,-77.45,180.0,top
SW7,159.35,-94.45,180.0,top
SW8,159.35,-111.45,180.0,top
SW9,141.35,-57.95,180.0,top
U1,214.96,-62.9,90.0,bottom
U2,209.88,-107.65,0.0,top
